W + 3        74         4        308103.8
    1 60964A52B56C53D     (0)0(    59.5)            0.0
    2 60964A52B56C52D51H  (0)0(   134.5)        91257.5
    3 60964A52B56C52D51I  (0)0(   224.5)       163322.0
    4 60964A52B56C52D51E  (0)0(   314.5)       181055.5
    5 60964A52B56C52D51N  (0)0(   134.5)       186608.2
    6 60964A52B56C52D51O  (0)0(   224.5)       217115.2
    7 60964A52B56C52D51J  (0)0(   314.5)       224182.2
    8 60964A52B56C52D51U  (0)0(   134.5)       227551.2
    9 60964A52B56C52D51V  (0)0(   224.5)       243518.0
   10 60964A52B56C52D51P  (0)0(   314.5)       247106.4
   11 60964A52B56C52D51K  (0)0(   404.5)       248511.0
   12 60964A52B56C52D51W  (0)0(   314.5)       260801.6
   13 60964A52B56C52D51Q  (0)0(   404.5)       261690.4
   14 60964A52B56C52D51X  (0)0(   404.5)       270228.0
   15 60964A52B55C54D     (0)0(   629.5)       347713.5
    6    3 2.24+03 7.23+02 7.24+02 7.26+02 7.34+02 7.50+02 7.95+02 8.52+02 8.91+02 9.20+02 9.60+02 1.01+03 1.06+03 1.11+03 1.13+03
   10    3 4.00+08 7.53+01 7.56+01 7.62+01 7.78+01 8.19+01 9.71+01 1.25+02 1.52+02 1.77+02 2.21+02 2.92+02 4.13+02 5.58+02 6.52+02
   13    3 8.01+02 9.21+01 9.21+01 9.22+01 9.23+01 9.27+01 9.37+01 9.50+01 9.60+01 9.67+01 9.77+01 9.89+01 1.00+02 1.01+02 1.02+02
    8    3 5.88+07 1.49+02 1.49+02 1.49+02 1.51+02 1.54+02 1.65+02 1.79+02 1.91+02 2.00+02 2.15+02 2.34+02 2.63+02 2.93+02 3.10+02
    9    3 1.35+03 1.50+02 1.50+02 1.51+02 1.51+02 1.53+02 1.58+02 1.66+02 1.71+02 1.76+02 1.82+02 1.89+02 1.98+02 2.05+02 2.09+02
   12    3 2.68+08 4.13+01 4.14+01 4.17+01 4.24+01 4.41+01 5.04+01 6.19+01 7.31+01 8.36+01 1.02+02 1.32+02 1.84+02 2.46+02 2.86+02
   14    3 1.85+02 4.33+01 4.33+01 4.33+01 4.34+01 4.35+01 4.38+01 4.41+01 4.44+01 4.46+01 4.49+01 4.53+01 4.56+01 4.59+01 4.60+01
    4    3 7.92+07 9.60+03 9.66+03 9.81+03 1.02+04 1.10+04 1.30+04 1.53+04 1.69+04 1.81+04 2.00+04 2.26+04 2.63+04 3.02+04 3.25+04
   11    7 3.00+08 2.71+03 2.75+03 2.84+03 3.12+03 3.77+03 5.74+03 8.46+03 1.06+04 1.24+04 1.52+04 1.92+04 2.53+04 3.22+04 3.63+04
   10    7 2.57+02 2.93+03 2.95+03 2.99+03 3.09+03 3.28+03 3.68+03 4.06+03 4.28+03 4.42+03 4.61+03 4.83+03 5.07+03 5.23+03 5.30+03
   13    7 1.70+08 8.51+02 8.57+02 8.72+02 9.13+02 1.01+03 1.31+03 1.73+03 2.07+03 2.35+03 2.80+03 3.44+03 4.41+03 5.49+03 6.14+03
    8    7 1.17-01 2.98+03 2.99+03 3.01+03 3.05+03 3.09+03 3.13+03 3.16+03 3.17+03 3.17+03 3.18+03 3.19+03 3.19+03 3.20+03 3.20+03
    9    7 4.31+07 4.52+02 4.57+02 4.70+02 5.11+02 6.11+02 9.20+02 1.35+03 1.70+03 1.98+03 2.42+03 3.06+03 4.04+03 5.13+03 5.80+03
