W + 3        74         4   308200.0(1S)
    1  4dA 4fE 5s2 5p6 5d3     (0)0(    59.5)            0.0000   {X}
    2  4dA 4fE 5s2 5p6 5d2 6s1 (0)0(    44.5)        31351.9000   {X}
    3  4dA 4fE 5s2 5p6 5d1 6s2 (0)0(     4.5)        77584.2000   {X}
    4  4dA 4fE 5s2 5p6 5d2 6p1 (0)0(   134.5)        91257.5000   {X}
    5  4dA 4fE 5s2 5p6 5d2 6d1 (0)0(   224.5)       163322.0000   {X}
    6  4dA 4fE 5s2 5p6 5d2 5f1 (0)0(   314.5)       181055.5000   {X}
    7  4dA 4fE 5s2 5p6 5d2 7p1 (0)0(   134.5)       186608.2000   {X}
    8  4dA 4fE 5s2 5p6 5d2 7d1 (0)0(   224.5)       217115.2000   {X}
    9  4dA 4fE 5s2 5p6 5d2 6f1 (0)0(   314.5)       224182.2000   {X}
   10  4dA 4fE 5s2 5p6 5d2 5g1 (0)0(   404.5)       226574.5000   {X}
   11  4dA 4fE 5s2 5p6 5d2 8p1 (0)0(   134.5)       227551.2000   {X}
   12  4dA 4fE 5s2 5p6 5d2 8d1 (0)0(   224.5)       243518.0000   {X}
   13  4dA 4fE 5s2 5p6 5d2 7f1 (0)0(   314.5)       247106.4000   {X}
   14  4dA 4fE 5s2 5p6 5d2 6g1 (0)0(   404.5)       248511.0000   {X}
   15  4dA 4fE 5s2 5p6 5d2 6h1 (0)0(   494.0)       248971.9000   {X}
   16  4dA 4fE 5s2 5p6 5d2 8f1 (0)0(   314.5)       260801.6000   {X}
   17  4dA 4fE 5s2 5p6 5d2 7g1 (0)0(   404.5)       261690.4000   {X}
   18  4dA 4fE 5s2 5p6 5d2 7h1 (0)0(   494.0)       261964.8000   {X}
   19  4dA 4fE 5s2 5p6 5d2 8g1 (0)0(   404.5)       270228.0000   {X}
   20  4dA 4fE 5s2 5p6 5d2 8h1 (0)0(   494.0)       270403.6000   {X}
   21  4dA 4fE 5s2 5p5 5d4     (0)0(   629.5)       347713.5000   {X}
   22  4dA 4fE 5s2 5p5 5d3 6s1 (0)0(   719.5)       381962.5000   {X}
   23  4dA 4fE 5s2 5p5 5d3 6p1 (0)0(  2159.5)       443437.3000   {X}
   24  4dA 4fE 5s2 5p5 5d3 6d1 (0)0(  3599.5)       516324.8000   {X}
   25  4dA 4fE 5s2 5p5 5d3 7s1 (0)0(   719.5)       517268.5000   {X}
   26  4dA 4fE 5s2 5p5 5d3 5f1 (0)0(  5039.5)       534288.8000   {X}
   27  4dA 4fE 5s2 5p5 5d3 7p1 (0)0(  2159.5)       540357.2000   {X}
   28  4dA 4fE 5s2 5p5 5d3 8s1 (0)0(   719.5)       570480.1000   {X}
   29  4dA 4fE 5s2 5p5 5d3 7d1 (0)0(  3599.5)       571017.8000   {X}
   30  4dA 4fE 5s2 5p5 5d3 6f1 (0)0(  5039.5)       578030.0000   {X}
   31  4dA 4fE 5s2 5p5 5d3 8p1 (0)0(  2159.5)       581706.2000   {X}
   32  4dA 4fE 5s2 5p5 5d3 8d1 (0)0(  3599.5)       597705.9000   {X}
   33  4dA 4fE 5s2 5p5 5d3 7f1 (0)0(  5039.5)       601228.5000   {X}
   34  4dA 4fE 5s2 5p5 5d3 8f1 (0)0(  5039.5)       615077.3000   {X}
   35  4dA 4fE 5s2 5p5 5d3 8h1 (0)0(  7918.5)       624909.8000   {X}
   36  4dA 4fE 5s1 5p6 5d4     (0)0(   209.0)       668212.1000   {X}
   37  4dA 4fE 5s1 5p6 5d3 6s1 (0)0(   239.5)       707651.7000   {X}
   38  4dA 4fE 5s1 5p6 5d3 6p1 (0)0(   719.5)       768413.2000   {X}
   39  4dA 4fE 5s1 5p6 5d3 6d1 (0)0(  1199.5)       841191.0000   {X}
   40  4dA 4fE 5s1 5p6 5d3 7s1 (0)0(   239.5)       842705.3000   {X}
   41  4dA 4fE 5s1 5p6 5d3 7p1 (0)0(   719.5)       865563.6000   {X}
   42  4dA 4fE 5s1 5p6 5d3 8s1 (0)0(   239.5)       895862.1000   {X}
   43  4dA 4fE 5s1 5p6 5d3 7d1 (0)0(  1199.5)       896169.3000   {X}
   44  4dA 4fE 5s1 5p6 5d3 8p1 (0)0(   719.5)       906978.5000   {X}
   45  4dA 4fE 5s1 5p6 5d3 8d1 (0)0(  1199.5)       922956.2000   {X}
   -1
  4.0    3           1.60+03 3.20+03 8.00+03 1.60+04 3.20+04 8.00+04 1.60+05 3.20+05 8.00+05 1.60+06 3.20+06 8.00+06 1.60+07 3.20+07
     2     1 4.84+01 8.25+01 8.26+01 8.30+01 8.37+01 8.48+01 8.68+01 8.83+01 8.95+01 9.07+01 9.13+01 9.16+01 9.19+01 9.20+01 9.20+01
     6     1 6.97+09 3.39+02 3.39+02 3.40+02 3.42+02 3.45+02 3.59+02 3.85+02 4.38+02 5.76+02 7.41+02 9.54+02 1.30+03 1.59+03 1.91+03
    10     1 4.95+04 1.09+01 1.09+01 1.09+01 1.10+01 1.10+01 1.12+01 1.16+01 1.24+01 1.39+01 1.54+01 1.69+01 1.85+01 1.94+01 2.00+01
     4     1 1.42+09 3.87+02 3.88+02 3.89+02 3.92+02 3.99+02 4.24+02 4.66+02 5.38+02 6.91+02 8.44+02 1.02+03 1.29+03 1.51+03 1.73+03
     5     1 1.76+04 1.10+02 1.10+02 1.10+02 1.10+02 1.11+02 1.12+02 1.15+02 1.20+02 1.28+02 1.35+02 1.41+02 1.48+02 1.51+02 1.53+02
     9     1 3.80+09 1.19+02 1.19+02 1.19+02 1.20+02 1.21+02 1.24+02 1.31+02 1.45+02 1.81+02 2.27+02 2.86+02 3.83+02 4.67+02 5.57+02
    14     1 4.60+04 7.92+00 7.92+00 7.93+00 7.95+00 7.99+00 8.11+00 8.35+00 8.81+00 9.83+00 1.08+01 1.18+01 1.29+01 1.35+01 1.39+01
     7     1 6.18+08 3.07+01 3.08+01 3.08+01 3.09+01 3.11+01 3.19+01 3.32+01 3.59+01 4.22+01 4.93+01 5.79+01 7.11+01 8.21+01 9.33+01
     8     1 1.05+04 2.73+01 2.73+01 2.73+01 2.73+01 2.74+01 2.77+01 2.81+01 2.89+01 3.06+01 3.20+01 3.34+01 3.48+01 3.55+01 3.60+01
    13     1 2.18+09 5.60+01 5.61+01 5.62+01 5.63+01 5.67+01 5.80+01 6.07+01 6.62+01 8.12+01 1.00+02 1.25+02 1.67+02 2.03+02 2.41+02
    17     1 3.57+04 5.36+00 5.36+00 5.37+00 5.38+00 5.40+00 5.48+00 5.62+00 5.91+00 6.55+00 7.18+00 7.82+00 8.54+00 8.94+00 9.21+00
    11     1 3.31+08 9.62+00 9.63+00 9.64+00 9.66+00 9.71+00 9.89+00 1.02+01 1.09+01 1.26+01 1.46+01 1.70+01 2.08+01 2.40+01 2.74+01
    12     1 6.43+03 1.16+01 1.16+01 1.16+01 1.17+01 1.17+01 1.18+01 1.20+01 1.23+01 1.29+01 1.35+01 1.40+01 1.46+01 1.49+01 1.51+01
    16     1 1.35+09 3.11+01 3.12+01 3.12+01 3.13+01 3.15+01 3.22+01 3.35+01 3.63+01 4.41+01 5.39+01 6.71+01 8.88+01 1.08+02 1.28+02
    19     1 2.69+04 3.70+00 3.70+00 3.70+00 3.71+00 3.73+00 3.78+00 3.88+00 4.06+00 4.48+00 4.90+00 5.34+00 5.82+00 6.09+00 6.28+00
    36     1 1.41+07 6.45+01 6.45+01 6.45+01 6.45+01 6.46+01 6.47+01 6.51+01 6.57+01 6.77+01 7.03+01 7.36+01 7.82+01 8.12+01 8.34+01
    37     1 1.00-30 1.44+01 1.44+01 1.44+01 1.44+01 1.44+01 1.45+01 1.46+01 1.48+01 1.55+01 1.64+01 1.76+01 1.94+01 2.05+01 2.14+01
    38     1 5.37+08 6.56+00 6.56+00 6.56+00 6.56+00 6.56+00 6.56+00 6.56+00 6.56+00 6.57+00 6.58+00 6.62+00 6.77+00 7.01+00 7.38+00
    39     1 1.64+05 6.35+00 6.35+00 6.35+00 6.35+00 6.35+00 6.36+00 6.37+00 6.40+00 6.48+00 6.58+00 6.71+00 6.90+00 7.01+00 7.10+00
    40     1 1.00-30 3.07+00 3.07+00 3.07+00 3.07+00 3.07+00 3.08+00 3.10+00 3.14+00 3.25+00 3.42+00 3.64+00 3.98+00 4.21+00 4.40+00
    41     1 2.70+08 1.89+00 1.89+00 1.89+00 1.89+00 1.89+00 1.89+00 1.89+00 1.89+00 1.89+00 1.89+00 1.91+00 1.96+00 2.05+00 2.18+00
    43     1 5.21+04 2.37+00 2.37+00 2.37+00 2.37+00 2.37+00 2.37+00 2.37+00 2.38+00 2.41+00 2.44+00 2.47+00 2.53+00 2.56+00 2.58+00
    42     1 1.00-30 1.23+00 1.23+00 1.23+00 1.23+00 1.23+00 1.23+00 1.24+00 1.26+00 1.30+00 1.36+00 1.45+00 1.58+00 1.67+00 1.74+00
