W +64        74        65 125550002.0(1S)
    1  2s2 2p6           (0)0(     0.0)            0.0000   {X}
    2  2s2 2p5 3s1       (0)0(     5.5)     70547275.2000   {X}
    3  2s2 2p5 3p1       (0)0(    17.5)     73834092.7000   {X}
    4  2s2 2p5 3d1       (0)0(    29.5)     76601282.3000   {X}
    5  2s1 2p6 3s1       (0)0(     1.5)     82128418.9000   {X}
    6  2s1 2p6 3p1       (0)0(     5.5)     85370320.9000   {X}
    7  2s1 2p6 3d1       (0)0(     9.5)     88132704.0000   {X}
    10     2 4.75+11 3.78-02 3.78-02 3.79-02 3.81-02 3.85-02 3.99-02 4.20-02 4.53-02 5.07-02 5.48-02 5.82-02 6.15-02 6.31-02 6.41-02
    13     2 1.00-30 7.02-03 7.02-03 7.03-03 7.05-03 7.08-03 7.20-03 7.39-03 7.68-03 8.21-03 8.61-03 8.96-03 9.30-03 9.47-03 9.57-03
    14     2 2.89+13 4.20-03 4.21-03 4.22-03 4.26-03 4.34-03 4.64-03 5.23-03 6.47-03 9.67-03 1.35-02 1.84-02 2.64-02 3.32-02 4.03-02
    16     2 2.07+11 1.06-02 1.06-02 1.06-02 1.06-02 1.07-02 1.09-02 1.12-02 1.17-02 1.25-02 1.32-02 1.37-02 1.43-02 1.46-02 1.48-02
     4     3 3.97+11 2.20+00 2.22+00 2.28+00 2.38+00 2.56+00 2.91+00 3.26+00 3.67+00 4.27+00 4.75+00 5.25+00 5.93+00 6.46+00 7.01+00
     8     3 7.02+13 1.55-02 1.56-02 1.57-02 1.58-02 1.63-02 1.80-02 2.13-02 2.76-02 4.25-02 5.89-02 7.94-02 1.11-01 1.38-01 1.66-01
     9     3 2.44+11 1.37-01 1.37-01 1.37-01 1.38-01 1.39-01 1.43-01 1.50-01 1.59-01 1.73-01 1.83-01 1.91-01 1.98-01 2.02-01 2.04-01
    10     3 1.28+14 1.08-01 1.08-01 1.09-01 1.11-01 1.14-01 1.28-01 1.53-01 1.99-01 3.06-01 4.21-01 5.62-01 7.83-01 9.63-01 1.15+00
    11     3 7.17+11 2.46-01 2.46-01 2.46-01 2.47-01 2.49-01 2.54-01 2.63-01 2.75-01 2.94-01 3.07-01 3.18-01 3.29-01 3.34-01 3.37-01
    13     3 3.23+13 3.48-03 3.49-03 3.50-03 3.52-03 3.56-03 3.74-03 4.10-03 4.81-03 6.61-03 8.69-03 1.13-02 1.55-02 1.90-02 2.27-02
    14     3 1.30+11 2.86-02 2.86-02 2.87-02 2.87-02 2.89-02 2.94-02 3.01-02 3.13-02 3.33-02 3.48-02 3.61-02 3.73-02 3.79-02 3.83-02
    16     3 6.61+13 3.20-02 3.21-02 3.22-02 3.24-02 3.30-02 3.52-02 3.93-02 4.72-02 6.59-02 8.68-02 1.13-01 1.53-01 1.86-01 2.20-01
    17     3 4.17+10 3.40-02 3.40-02 3.40-02 3.40-02 3.41-02 3.43-02 3.45-02 3.49-02 3.56-02 3.60-02 3.63-02 3.66-02 3.68-02 3.69-02
     8     4 1.04+11 8.98-03 8.99-03 9.01-03 9.06-03 9.15-03 9.46-03 9.92-03 1.06-02 1.16-02 1.22-02 1.27-02 1.32-02 1.34-02 1.36-02
     9     4 1.32+13 2.07-02 2.07-02 2.07-02 2.08-02 2.11-02 2.22-02 2.43-02 2.85-02 3.84-02 4.94-02 6.32-02 8.50-02 1.03-01 1.22-01
    10     4 9.56+10 2.15-01 2.15-01 2.15-01 2.16-01 2.18-01 2.23-01 2.31-01 2.42-01 2.59-01 2.70-01 2.79-01 2.88-01 2.92-01 2.94-01
    11     4 2.61+14 9.19-01 9.21-01 9.25-01 9.34-01 9.55-01 1.03+00 1.16+00 1.38+00 1.86+00 2.35+00 2.92+00 3.79+00 4.49+00 5.21+00
    13     4 5.65+10 1.89-03 1.89-03 1.89-03 1.90-03 1.91-03 1.94-03 2.00-03 2.07-03 2.18-03 2.27-03 2.33-03 2.40-03 2.43-03 2.45-03
    14     4 5.50+12 4.99-03 4.99-03 4.99-03 5.00-03 5.03-03 5.13-03 5.34-03 5.76-03 6.83-03 8.07-03 9.66-03 1.22-02 1.44-02 1.66-02
    16     4 4.39+10 4.28-02 4.28-02 4.28-02 4.29-02 4.31-02 4.36-02 4.44-02 4.56-02 4.76-02 4.91-02 5.03-02 5.15-02 5.20-02 5.24-02
    17     4 8.84+13 1.77-01 1.77-01 1.78-01 1.79-01 1.81-01 1.88-01 2.01-01 2.25-01 2.77-01 3.32-01 3.97-01 4.96-01 5.76-01 6.57-01
     9     8 1.84+11 4.46+00 4.55+00 4.82+00 5.22+00 5.81+00 6.87+00 7.83+00 8.91+00 1.04+01 1.16+01 1.28+01 1.45+01 1.57+01 1.71+01
    10     8 2.75+07 5.46-01 5.47-01 5.51-01 5.56-01 5.62-01 5.70-01 5.76-01 5.80-01 5.84-01 5.86-01 5.87-01 5.88-01 5.89-01 5.89-01
    13     8 1.00-30 9.01-02 9.03-02 9.10-02 9.22-02 9.50-02 1.02-01 1.11-01 1.21-01 1.33-01 1.41-01 1.47-01 1.52-01 1.54-01 1.55-01
    14     8 1.08+13 3.05-02 3.06-02 3.09-02 3.16-02 3.33-02 4.03-02 5.34-02 7.75-02 1.29-01 1.84-01 2.50-01 3.49-01 4.29-01 5.12-01
    16     8 5.82+10 5.89-02 5.91-02 5.96-02 6.07-02 6.32-02 7.02-02 7.89-02 8.97-02 1.04-01 1.13-01 1.20-01 1.26-01 1.29-01 1.31-01
    10     9 1.09+11 8.60+00 8.81+00 9.40+00 1.02+01 1.14+01 1.34+01 1.52+01 1.72+01 1.99+01 2.20+01 2.42+01 2.73+01 2.97+01 3.23+01
    11     9 2.19+06 5.46-01 5.50-01 5.60-01 5.68-01 5.77-01 5.86-01 5.91-01 5.95-01 5.97-01 5.99-01 5.99-01 6.00-01 6.00-01 6.00-01
    13     9 2.28+13 3.98-02 3.99-02 4.06-02 4.20-02 4.55-02 5.82-02 7.97-02 1.16-01 1.87-01 2.59-01 3.43-01 4.64-01 5.62-01 6.63-01
    14     9 4.14+10 3.51-01 3.52-01 3.55-01 3.60-01 3.72-01 4.01-01 4.36-01 4.76-01 5.26-01 5.56-01 5.78-01 5.97-01 6.05-01 6.10-01
    16     9 2.42+13 1.09-01 1.10-01 1.12-01 1.18-01 1.31-01 1.80-01 2.62-01 3.98-01 6.70-01 9.41-01 1.26+00 1.73+00 2.10+00 2.48+00
    17     9 1.02+11 3.71-01 3.72-01 3.75-01 3.80-01 3.92-01 4.22-01 4.58-01 5.01-01 5.55-01 5.88-01 6.12-01 6.33-01 6.43-01 6.49-01
    11    10 5.79+09 1.03+01 1.08+01 1.19+01 1.32+01 1.47+01 1.69+01 1.87+01 2.07+01 2.32+01 2.53+01 2.74+01 3.05+01 3.29+01 3.55+01
    13    10 3.03+10 3.68-02 3.69-02 3.73-02 3.80-02 3.95-02 4.32-02 4.74-02 5.19-02 5.74-02 6.07-02 6.30-02 6.50-02 6.58-02 6.64-02
    14    10 6.51+12 6.86-02 6.87-02 6.92-02 7.03-02 7.32-02 8.42-02 1.04-01 1.37-01 2.04-01 2.73-01 3.53-01 4.70-01 5.64-01 6.62-01
    16    10 2.15+10 5.97-01 5.98-01 6.03-01 6.11-01 6.28-01 6.73-01 7.23-01 7.80-01 8.50-01 8.92-01 9.22-01 9.48-01 9.59-01 9.66-01
    17    10 4.68+13 7.26-01 7.30-01 7.45-01 7.76-01 8.49-01 1.09+00 1.45+00 2.01+00 3.06+00 4.07+00 5.21+00 6.84+00 8.13+00 9.45+00
    14    11 4.65+09 2.32-02 2.33-02 2.34-02 2.38-02 2.44-02 2.60-02 2.77-02 2.95-02 3.17-02 3.31-02 3.40-02 3.49-02 3.52-02 3.54-02
    16    11 1.36+12 7.58-02 7.58-02 7.59-02 7.61-02 7.67-02 7.93-02 8.44-02 9.39-02 1.15-01 1.36-01 1.63-01 2.02-01 2.34-01 2.67-01
    17    11 1.17+10 7.30-01 7.31-01 7.36-01 7.44-01 7.61-01 8.03-01 8.50-01 9.03-01 9.67-01 1.00+00 1.03+00 1.05+00 1.06+00 1.07+00
    14    13 5.96+10 1.06+01 1.11+01 1.23+01 1.38+01 1.58+01 1.90+01 2.17+01 2.46+01 2.86+01 3.17+01 3.49+01 3.93+01 4.27+01 4.63+01
    16    13 6.08+06 1.48+00 1.49+00 1.51+00 1.53+00 1.55+00 1.57+00 1.59+00 1.60+00 1.61+00 1.61+00 1.62+00 1.62+00 1.62+00 1.62+00
    16    14 3.73+10 2.21+01 2.32+01 2.59+01 2.91+01 3.31+01 3.94+01 4.48+01 5.04+01 5.81+01 6.41+01 7.03+01 7.88+01 8.55+01 9.24+01
    17    14 6.68+05 2.09+00 2.11+00 2.14+00 2.16+00 2.18+00 2.20+00 2.21+00 2.22+00 2.23+00 2.23+00 2.23+00 2.23+00 2.23+00 2.23+00
    17    16 2.62+09 3.59+01 3.86+01 4.39+01 4.90+01 5.48+01 6.33+01 7.00+01 7.69+01 8.64+01 9.39+01 1.02+02 1.13+02 1.22+02 1.31+02
    21    16 1.52+13 4.06-01 4.07-01 4.09-01 4.13-01 4.23-01 4.50-01 4.85-01 5.35-01 6.20-01 6.95-01 7.76-01 8.89-01 9.76-01 1.07+00
     6     5 7.36+11 4.75-01 4.78-01 4.89-01 5.09-01 5.43-01 6.17-01 6.93-01 7.84-01 9.20-01 1.03+00 1.14+00 1.30+00 1.42+00 1.54+00
     7     5 1.63+08 4.12-02 4.13-02 4.15-02 4.19-02 4.24-02 4.32-02 4.38-02 4.43-02 4.47-02 4.50-02 4.51-02 4.52-02 4.53-02 4.53-02
    12     5 1.00-30 1.15-02 1.15-02 1.15-02 1.15-02 1.16-02 1.20-02 1.25-02 1.32-02 1.44-02 1.53-02 1.60-02 1.67-02 1.70-02 1.73-02
    15     5 5.08+13 4.77-03 4.78-03 4.81-03 4.87-03 5.01-03 5.55-03 6.62-03 8.83-03 1.43-02 2.07-02 2.88-02 4.19-02 5.29-02 6.45-02
    18     5 4.73+11 1.27-02 1.27-02 1.27-02 1.28-02 1.29-02 1.34-02 1.41-02 1.52-02 1.70-02 1.84-02 1.95-02 2.06-02 2.11-02 2.15-02
    19     5 1.00-30 2.35-03 2.35-03 2.35-03 2.36-03 2.37-03 2.41-03 2.47-03 2.57-03 2.74-03 2.88-03 3.00-03 3.11-03 3.16-03 3.20-03
    20     5 2.89+13 1.41-03 1.41-03 1.42-03 1.43-03 1.46-03 1.56-03 1.76-03 2.17-03 3.25-03 4.53-03 6.18-03 8.85-03 1.11-02 1.35-02
    21     5 2.06+11 3.55-03 3.55-03 3.55-03 3.56-03 3.58-03 3.64-03 3.74-03 3.90-03 4.19-03 4.41-03 4.60-03 4.78-03 4.87-03 4.93-03
     7     6 3.96+11 7.35-01 7.41-01 7.62-01 7.96-01 8.53-01 9.72-01 1.09+00 1.22+00 1.43+00 1.59+00 1.75+00 1.98+00 2.16+00 2.34+00
    12     6 6.99+13 5.17-03 5.17-03 5.20-03 5.27-03 5.41-03 5.98-03 7.06-03 9.16-03 1.41-02 1.95-02 2.63-02 3.69-02 4.57-02 5.49-02
    15     6 2.43+11 4.56-02 4.56-02 4.57-02 4.59-02 4.64-02 4.78-02 4.99-02 5.29-02 5.76-02 6.09-02 6.36-02 6.61-02 6.73-02 6.81-02
    18     6 1.28+14 3.60-02 3.61-02 3.64-02 3.69-02 3.81-02 4.26-02 5.09-02 6.65-02 1.02-01 1.40-01 1.87-01 2.61-01 3.21-01 3.84-01
    19     6 3.22+13 1.16-03 1.16-03 1.16-03 1.17-03 1.19-03 1.25-03 1.36-03 1.60-03 2.20-03 2.89-03 3.76-03 5.15-03 6.33-03 7.55-03
    20     6 1.30+11 9.55-03 9.56-03 9.57-03 9.59-03 9.64-03 9.80-03 1.00-02 1.04-02 1.11-02 1.16-02 1.20-02 1.24-02 1.26-02 1.27-02
    21     6 6.60+13 1.07-02 1.07-02 1.07-02 1.08-02 1.10-02 1.17-02 1.31-02 1.57-02 2.20-02 2.89-02 3.75-02 5.08-02 6.19-02 7.34-02
    12     7 1.04+11 2.99-03 2.99-03 3.00-03 3.01-03 3.04-03 3.14-03 3.30-03 3.51-03 3.83-03 4.05-03 4.23-03 4.39-03 4.46-03 4.51-03
    15     7 1.32+13 6.89-03 6.90-03 6.92-03 6.95-03 7.05-03 7.41-03 8.11-03 9.50-03 1.28-02 1.64-02 2.10-02 2.83-02 3.43-02 4.05-02
    18     7 9.55+10 7.16-02 7.17-02 7.18-02 7.21-02 7.27-02 7.45-02 7.71-02 8.08-02 8.63-02 9.01-02 9.31-02 9.59-02 9.72-02 9.81-02
    19     7 5.65+10 6.30-04 6.30-04 6.31-04 6.33-04 6.36-04 6.47-04 6.65-04 6.89-04 7.28-04 7.55-04 7.77-04 7.98-04 8.08-04 8.14-04
    20     7 5.49+12 1.66-03 1.66-03 1.67-03 1.67-03 1.68-03 1.71-03 1.78-03 1.92-03 2.28-03 2.69-03 3.22-03 4.07-03 4.78-03 5.53-03
    21     7 4.39+10 1.43-02 1.43-02 1.43-02 1.43-02 1.44-02 1.45-02 1.48-02 1.52-02 1.59-02 1.64-02 1.68-02 1.72-02 1.73-02 1.75-02
    15    12 1.78+11 1.49+00 1.52+00 1.62+00 1.75+00 1.95+00 2.30+00 2.62+00 2.98+00 3.49+00 3.88+00 4.29+00 4.84+00 5.28+00 5.73+00
    18    12 2.67+07 1.82-01 1.83-01 1.84-01 1.85-01 1.87-01 1.90-01 1.92-01 1.94-01 1.95-01 1.95-01 1.96-01 1.96-01 1.96-01 1.96-01
    19    12 1.00-30 3.01-02 3.01-02 3.04-02 3.08-02 3.17-02 3.41-02 3.69-02 4.03-02 4.45-02 4.71-02 4.90-02 5.06-02 5.13-02 5.18-02
    20    12 1.08+13 1.02-02 1.02-02 1.03-02 1.05-02 1.11-02 1.35-02 1.79-02 2.60-02 4.34-02 6.17-02 8.39-02 1.17-01 1.44-01 1.72-01
    21    12 5.81+10 1.97-02 1.98-02 2.00-02 2.03-02 2.12-02 2.35-02 2.64-02 3.00-02 3.49-02 3.79-02 4.03-02 4.23-02 4.32-02 4.38-02
    18    15 1.08+11 2.87+00 2.94+00 3.14+00 3.41+00 3.80+00 4.46+00 5.06+00 5.72+00 6.63+00 7.34+00 8.07+00 9.08+00 9.88+00 1.07+01
    19    15 2.27+13 1.32-02 1.33-02 1.35-02 1.40-02 1.51-02 1.93-02 2.64-02 3.84-02 6.21-02 8.59-02 1.14-01 1.54-01 1.86-01 2.20-01
    20    15 4.14+10 1.17-01 1.17-01 1.18-01 1.20-01 1.24-01 1.34-01 1.45-01 1.59-01 1.75-01 1.85-01 1.93-01 1.99-01 2.02-01 2.04-01
    21    15 2.42+13 3.63-02 3.66-02 3.74-02 3.93-02 4.39-02 6.01-02 8.72-02 1.33-01 2.24-01 3.15-01 4.21-01 5.76-01 7.00-01 8.28-01
    19    18 3.03+10 1.22-02 1.23-02 1.24-02 1.26-02 1.31-02 1.44-02 1.57-02 1.73-02 1.91-02 2.02-02 2.09-02 2.16-02 2.19-02 2.21-02
    20    18 6.50+12 2.29-02 2.29-02 2.31-02 2.35-02 2.44-02 2.81-02 3.45-02 4.56-02 6.81-02 9.08-02 1.18-01 1.57-01 1.88-01 2.20-01
    21    18 2.14+10 1.99-01 2.00-01 2.01-01 2.04-01 2.10-01 2.24-01 2.41-01 2.60-01 2.84-01 2.97-01 3.08-01 3.16-01 3.20-01 3.22-01
    20    19 5.82+10 3.56+00 3.71+00 4.12+00 4.62+00 5.28+00 6.35+00 7.27+00 8.24+00 9.57+00 1.06+01 1.17+01 1.32+01 1.44+01 1.57+01
    21    19 5.93+06 4.96-01 4.98-01 5.03-01 5.09-01 5.16-01 5.25-01 5.30-01 5.33-01 5.36-01 5.38-01 5.39-01 5.40-01 5.40-01 5.41-01
    21    20 3.71+10 7.38+00 7.74+00 8.64+00 9.71+00 1.10+01 1.32+01 1.49+01 1.68+01 1.94+01 2.14+01 2.34+01 2.62+01 2.85+01 3.07+01
  -1
  -1  -1
c-------------------------------------------------------------------------------
c comments from original adf04 file
C-------------------------------------------------------------------------------
C
C   Atomic Structure from Cowan Atomic Structure Program
C
C-------------------------------------------------------------------------------
C
C   Code     : ADAS8XX_CREATE_CA_ADF04
C   Producer : Stuart Henderson
C   Date     : 21/08/17
C-------------------------------------------------------------------------------
c-------------------------------------------------------------------------------
c
c  Conversion of an adf04 dataset from type 1 to type 3
c
c  Parameter: Cowan ion threshold shift = F
c
c
c  Producer : Stuart Henderson
c  Date     : 21-08-2017
c
c-------------------------------------------------------------------------------
c
c  Separate iz1 from ionisation potential.
c
c  Martin O'Mullane
c  18-08-2019
c 
c-------------------------------------------------------------------------------

C-----------------------------------------------------------------------
C                               OPEN-ADAS
C                               +++++++++
C
C This file has been downloaded from OPEN-ADAS (http://open.adas.ac.uk)
C on 19-May-2020.
C
C TERMS AND CONDITIONS
C --------------------
C
C The user of the OPEN-ADAS system and data (hereinafter "the User")
C accepts the following terms and conditions:
C
C   1. The University of Strathclyde uses all reasonable endeavours to
C      ensure the accuracy of the data provided and any information
C      given, but the University makes no warranty, expressed or implied
C      as to its accuracy, integrity, fitness for purpose and shall not
C      be responsible for the use to which the data is put by the User
C      and/or any consequences arising out of any inaccuracies or
C      omissions.
C
C   2. Any downloaded OPEN-ADAS file is made available for the
C      personal use of the User only.  It must not be used for any
C      commercial application, incorporated into any web site or in
C      any form re-distributed without express prior written permission
C      from the ADAS Project. In particular, but not by way of
C      limitation, it must not be:
C        *  inserted into a managed database structure,
C        *  redistributed along with a modelling or analysis code,
C        *  made available on a public website.
C
C Permission for OPEN-ADAS data incorporation in non-commercial
C code/system development for scientific advance will not be
C unreasonably withheld, but will be subject to written agreement
C on a case by case basis.
C
C The User will indemnify the University of Strathclyde and keep it
C fully and effectively indemnified against each and every claim made
C against the University as a result of the User's use of the data.
C
C-----------------------------------------------------------------------
