W + 7        74         8  1139000.0(1S)
    1  4dA 4fD 5s2 5p6         (0)0(     6.5)            0.0000   {X}
    2  4dA 4fD 5s2 5p6         (0)0(     6.5)            0.0000   {X}
    3  4dA 4fE 5s2 5p5         (0)0(     2.5)        32943.1000   {X}
    4  4dA 4fE 5s1 5p6         (0)0(     0.5)       376870.7000   {X}
    5  4dA 4fD 5s2 5p5 5d1     (0)0(   419.0)       391773.0000   {X}
    6  4dA 4fE 5s2 5p4 5d1     (0)0(    74.5)       418713.5000   {X}
    7  4dA 4fE 5s2 5p4 6s1     (0)0(    14.5)       549959.3000   {X}
    8  4dA 4fC 5s2 5p6 6s1     (0)0(    90.0)       562677.8000   {X}
    9  4dA 4fC 5s2 5p6 6s1     (0)0(    90.0)       562677.8000   {X}
   10  4dA 4fE 5s2 5p4 6p1     (0)0(    44.5)       647395.0000   {X}
    10     6 1.38+10 5.08+01 5.09+01 5.14+01 5.24+01 5.46+01 6.20+01 7.37+01 9.25+01 1.28+02 1.63+02 2.02+02 2.59+02 3.03+02 3.50+02
    14     6 4.26+05 2.74+01 2.75+01 2.75+01 2.77+01 2.80+01 2.90+01 3.04+01 3.24+01 3.55+01 3.77+01 3.94+01 4.11+01 4.19+01 4.24+01
    18     6 1.70+10 2.90+01 2.90+01 2.91+01 2.93+01 2.97+01 3.10+01 3.33+01 3.75+01 4.65+01 5.58+01 6.67+01 8.29+01 9.60+01 1.09+02
    15     6 1.41+04 1.14+00 1.14+00 1.14+00 1.14+00 1.14+00 1.15+00 1.15+00 1.15+00 1.15+00 1.15+00 1.15+00 1.15+00 1.15+00 1.15+00
    16     6 5.91+09 4.64+00 4.65+00 4.67+00 4.71+00 4.79+00 5.08+00 5.58+00 6.47+00 8.36+00 1.03+01 1.25+01 1.58+01 1.84+01 2.11+01
    19     6 2.66+05 6.31+00 6.31+00 6.32+00 6.34+00 6.38+00 6.52+00 6.73+00 7.06+00 7.61+00 8.03+00 8.38+00 8.71+00 8.87+00 8.98+00
    20     6 7.18+09 1.00+01 1.00+01 1.01+01 1.01+01 1.02+01 1.05+01 1.11+01 1.22+01 1.46+01 1.70+01 1.99+01 2.41+01 2.76+01 3.10+01
    14    12 1.36+08 8.77+02 8.89+02 9.32+02 1.00+03 1.12+03 1.34+03 1.56+03 1.81+03 2.17+03 2.46+03 2.76+03 3.16+03 3.48+03 3.80+03
    18    12 4.53+04 1.15+02 1.15+02 1.16+02 1.17+02 1.20+02 1.27+02 1.35+02 1.44+02 1.55+02 1.61+02 1.66+02 1.70+02 1.71+02 1.73+02
    16    12 1.54+04 1.14+01 1.15+01 1.16+01 1.18+01 1.21+01 1.30+01 1.38+01 1.47+01 1.57+01 1.63+01 1.67+01 1.70+01 1.71+01 1.72+01
