W + 1        74         2        132033.0
    1 60964A52B56C54D51G    (0)0(   209.0)            0.0
    2 60964A52B56C55D       (0)0(   124.5)         6320.9
    3 60964A52B56C54D51H    (0)0(   629.5)        39626.1
    4 60964A52B56C53D51G51H (0)0(   719.5)        42665.8
    5 60964A52B56C54D51M    (0)0(   209.0)        70418.4
    6 60964A52B56C54D51I    (0)0(  1049.5)        77233.1
    7 60964A52B56C54D51N    (0)0(   629.5)        81984.7
    8 60964A52B56C54D51E    (0)0(  1469.5)        90588.1
    9 60964A52B56C54D51O    (0)0(  1049.5)        95438.5
   10 60964A52B56C54D51J    (0)0(  1469.5)       101111.9
   11 60964A52B56C54D51P    (0)0(  1469.5)       106774.4
   12 60964A52B56C54D51K    (0)0(  1889.5)       107081.6
   13 60964A52B56C54D51L    (0)0(  2309.5)       107169.4
   14 60964A52B55C55D51G    (0)0(  1511.0)       338177.3
   15 60964A52B55C54D51G51H (0)0(  7559.5)       385627.7
   16 60964A52B55C54D51G51I (0)0( 12599.5)       430400.5
   17 60964A52B55C54D51G51N (0)0(  7559.5)       435415.5
   18 60964A52B55C54D51E51G (0)0( 17639.5)       445324.8
   19 60964A52B55C54D51G51O (0)0( 12599.5)       449988.6
   20 60964A52B55C54D51G51J (0)0( 17639.5)       456155.8
   21 60964A52B55C54D51G51P (0)0( 17639.5)       461928.0
   22 60964A51B56C55D51G    (0)0(   503.0)       655603.3
   23 60964A51B56C54D52G    (0)0(   209.0)       669265.6
   24 60964A51B56C54D51G51H (0)0(  2519.5)       706653.1
   25 60964A51B56C54D51G51M (0)0(   839.0)       743788.2
   26 60964A51B56C54D51G51I (0)0(  4199.5)       751272.3
   27 60964A51B56C54D51G51N (0)0(  2519.5)       756451.9
   28    1 3.79+04 4.22+00 4.22+00 4.22+00 4.22+00 4.22+00 4.22+00 4.22+00 4.23+00 4.23+00 4.23+00 4.25+00 4.28+00 4.34+00 4.39+00
    3    2 8.71+07 3.28+03 3.28+03 3.29+03 3.30+03 3.33+03 3.43+03 3.61+03 3.79+03 3.96+03 4.26+03 4.74+03 5.57+03 6.59+03 7.25+03
    5    2 1.96+02 1.81+01 1.81+01 1.81+01 1.81+01 1.81+01 1.82+01 1.83+01 1.84+01 1.85+01 1.87+01 1.90+01 1.95+01 1.99+01 2.02+01
    6    2 4.72+02 5.45+02 5.45+02 5.45+02 5.46+02 5.46+02 5.50+02 5.56+02 5.62+02 5.67+02 5.77+02 5.93+02 6.18+02 6.42+02 6.55+02
    7    2 4.47+07 2.20+02 2.20+02 2.20+02 2.20+02 2.21+02 2.23+02 2.27+02 2.32+02 2.36+02 2.45+02 2.60+02 2.90+02 3.29+02 3.56+02
    8    2 1.82+08 3.60+02 3.60+02 3.61+02 3.61+02 3.63+02 3.70+02 3.85+02 4.00+02 4.17+02 4.51+02 5.15+02 6.53+02 8.56+02 1.00+03
    9    2 2.75+02 1.49+02 1.49+02 1.49+02 1.49+02 1.49+02 1.49+02 1.51+02 1.52+02 1.53+02 1.55+02 1.59+02 1.65+02 1.71+02 1.74+02
   10    2 1.34+08 2.01+02 2.01+02 2.01+02 2.01+02 2.02+02 2.06+02 2.12+02 2.20+02 2.27+02 2.43+02 2.75+02 3.43+02 4.44+02 5.18+02
   11    2 8.96+07 1.17+02 1.17+02 1.17+02 1.18+02 1.18+02 1.20+02 1.23+02 1.27+02 1.32+02 1.40+02 1.57+02 1.95+02 2.50+02 2.92+02
   12    2 1.86+02 4.60+00 4.60+00 4.60+00 4.61+00 4.62+00 4.67+00 4.76+00 4.85+00 4.95+00 5.13+00 5.45+00 6.03+00 6.69+00 7.07+00
   14    2 3.75+09 9.75+01 9.76+01 9.76+01 9.77+01 9.78+01 9.82+01 9.91+01 1.00+02 1.01+02 1.03+02 1.08+02 1.22+02 1.50+02 1.74+02
   22    2 1.00-30 2.31+01 2.31+01 2.31+01 2.31+01 2.31+01 2.31+01 2.32+01 2.32+01 2.32+01 2.33+01 2.35+01 2.40+01 2.50+01 2.58+01
    4    3 5.89-04 4.79+02 4.88+02 5.07+02 5.61+02 6.66+02 8.97+02 1.11+03 1.22+03 1.30+03 1.38+03 1.47+03 1.57+03 1.62+03 1.63+03
    5    3 3.97+08 2.69+03 2.69+03 2.70+03 2.72+03 2.77+03 2.94+03 3.25+03 3.56+03 3.85+03 4.38+03 5.24+03 6.76+03 8.63+03 9.85+03
    6    3 5.74+08 1.20+04 1.20+04 1.20+04 1.21+04 1.22+04 1.28+04 1.38+04 1.49+04 1.59+04 1.77+04 2.08+04 2.65+04 3.36+04 3.83+04
    7    3 8.52+02 1.94+03 1.94+03 1.94+03 1.95+03 1.96+03 1.99+03 2.05+03 2.10+03 2.15+03 2.22+03 2.33+03 2.48+03 2.62+03 2.69+03
    8    3 3.96+03 2.43+03 2.43+03 2.43+03 2.43+03 2.44+03 2.48+03 2.54+03 2.59+03 2.64+03 2.73+03 2.86+03 3.05+03 3.23+03 3.32+03
    9    3 1.72+08 1.74+03 1.75+03 1.75+03 1.75+03 1.76+03 1.81+03 1.89+03 1.97+03 2.05+03 2.20+03 2.47+03 2.97+03 3.62+03 4.05+03
   10    3 1.69+03 8.01+02 8.01+02 8.01+02 8.02+02 8.04+02 8.11+02 8.23+02 8.35+02 8.46+02 8.65+02 8.95+02 9.38+02 9.80+02 1.00+03
   11    3 8.41+02 3.64+02 3.64+02 3.64+02 3.65+02 3.65+02 3.68+02 3.72+02 3.77+02 3.81+02 3.88+02 3.98+02 4.15+02 4.30+02 4.38+02
   15    3 4.24+09 4.89+02 4.89+02 4.89+02 4.90+02 4.90+02 4.92+02 4.96+02 5.01+02 5.06+02 5.16+02 5.40+02 6.06+02 7.38+02 8.59+02
   24    3 1.00-30 1.24+02 1.24+02 1.24+02 1.24+02 1.24+02 1.24+02 1.25+02 1.25+02 1.25+02 1.26+02 1.27+02 1.29+02 1.34+02 1.39+02
   15    4 3.55+10 9.47+03 9.47+03 9.47+03 9.47+03 9.48+03 9.50+03 9.55+03 9.60+03 9.66+03 9.78+03 1.01+04 1.08+04 1.22+04 1.34+04
   24    4 1.34+07 7.44+02 7.44+02 7.44+02 7.44+02 7.44+02 7.45+02 7.45+02 7.46+02 7.47+02 7.49+02 7.52+02 7.63+02 7.82+02 7.99+02
    6    5 9.06-01 8.56+03 8.56+03 8.58+03 8.61+03 8.68+03 8.81+03 8.92+03 8.99+03 9.04+03 9.10+03 9.16+03 9.23+03 9.28+03 9.30+03
    7    5 4.98+07 2.96+04 2.97+04 2.98+04 3.04+04 3.16+04 3.56+04 4.14+04 4.61+04 5.01+04 5.66+04 6.60+04 8.05+04 9.67+04 1.07+05
