W +71        74        72     160800000.
    1  2s   2S(J=0.5)   (2)0( 0.5)              0.0
    2  2p*  2P(J=0.5)   (2)1( 0.5)        1558603.4
    3  2p   2P(J=1.5)   (2)1( 1.5)       13679174.9
    4  3s   3S(J=0.5)   (2)0( 0.5)       90169027.4
    5  3p*  3P(J=0.5)   (2)1( 0.5)       90619289.5
    6  3p   3P(J=1.5)   (2)1( 1.5)       94274456.9
    7  3d*  3D(J=1.5)   (2)2( 1.5)       94407728.7
    8  3d   3D(J=2.5)   (2)2( 2.5)       95427295.2
    9  4s   4S(J=0.5)   (2)0( 0.5)      121009184.6
   10  4p*  4P(J=0.5)   (2)1( 0.5)      121192247.0
   11  4p   4P(J=1.5)   (2)1( 1.5)      122722929.3
   12  4d*  4D(J=1.5)   (2)2( 1.5)      122778145.1
   13  4d   4D(J=2.5)   (2)2( 2.5)      123211606.2
   14  4f*  4F(J=2.5)   (2)3( 2.5)      123214898.3
   15  4f   4F(J=3.5)   (2)3( 3.5)      123424496.0
   16  5s   5S(J=0.5)   (2)0( 0.5)      135021502.2
   17  5p*  5P(J=0.5)   (2)1( 0.5)      135113991.8
   18  5p   5P(J=1.5)   (2)1( 1.5)      135891852.9
   19  5d*  5D(J=1.5)   (2)2( 1.5)      135920248.2
   20  5d   5D(J=2.5)   (2)2( 2.5)      136141916.9
   21  5f*  5F(J=2.5)   (2)3( 2.5)      136144111.7
   22  5f   5F(J=3.5)   (2)3( 3.5)      136250556.6
   23  5g*  5G(J=3.5)   (2)4( 3.5)      136251653.9
   24  5g   5G(J=4.5)   (2)4( 4.5)      136315301.4
   -1
72.00    3       2.59+07 5.18+07 1.04+08 2.59+08 5.18+08 1.04+09 2.59+09 5.18+09
  19   2 2.67+14 3.67-04 3.89-04 4.32-04 5.43-04 6.77-04 8.64-04 1.16-03 1.44-03
  20   2 0.00+00 1.07-04 9.32-05 7.77-05 5.65-05 4.39-05 3.60-05 2.93-05 2.74-05
  21   2 0.00+00 6.93-05 7.20-05 7.94-05 9.92-05 1.17-04 1.37-04 1.51-04 1.64-04
  22   2 0.00+00 4.56-05 3.91-05 3.21-05 2.33-05 1.83-05 1.55-05 1.29-05 1.26-05
  23   2 0.00+00 5.14-06 4.88-06 4.82-06 5.18-06 5.56-06 6.12-06 6.41-06 6.83-06
  24   2 0.00+00 4.89-06 4.04-06 3.19-06 2.15-06 1.57-06 1.25-06 9.96-07 9.67-07
   4   3 2.38+14 3.36-04 3.64-04 4.31-04 6.16-04 8.25-04 1.11-03 1.49-03 1.85-03
   5   3 0.00+00 5.79-04 5.56-04 5.36-04 5.30-04 5.32-04 5.52-04 5.48-04 5.68-04
   6   3 0.00+00 4.58-03 4.61-03 4.69-03 4.92-03 5.12-03 5.37-03 5.49-03 5.66-03
   7   3 2.79+14 2.39-03 2.40-03 2.48-03 2.85-03 3.32-03 4.02-03 5.04-03 6.07-03
   8   3 1.77+15 1.21-02 1.31-02 1.50-02 1.97-02 2.49-02 3.20-02 4.25-02 5.19-02
   9   3 9.07+13 8.78-05 8.74-05 9.12-05 1.10-04 1.35-04 1.72-04 2.24-04 2.77-04
  10   3 0.00+00 1.68-04 1.55-04 1.40-04 1.23-04 1.12-04 1.06-04 9.55-05 9.52-05
  11   3 0.00+00 9.84-04 9.75-04 9.74-04 9.96-04 1.02-03 1.06-03 1.07-03 1.10-03
  12   3 8.52+13 5.74-04 5.45-04 5.23-04 5.25-04 5.41-04 5.85-04 6.16-04 6.85-04
  13   3 5.78+14 2.36-03 2.48-03 2.74-03 3.41-03 4.21-03 5.32-03 7.04-03 8.63-03
  14   3 0.00+00 2.02-04 1.85-04 1.71-04 1.62-04 1.59-04 1.65-04 1.61-04 1.69-04
  15   3 0.00+00 4.01-04 4.13-04 4.50-04 5.50-04 6.35-04 7.36-04 7.99-04 8.65-04
  16   3 4.41+13 3.93-05 3.80-05 3.79-05 4.24-05 4.91-05 6.03-05 7.53-05 9.22-05
  17   3 0.00+00 7.58-05 6.91-05 6.12-05 5.16-05 4.49-05 4.08-05 3.44-05 3.34-05
  18   3 0.00+00 3.93-04 3.87-04 3.82-04 3.85-04 3.90-04 4.03-04 4.04-04 4.14-04
  19   3 3.80+13 2.46-04 2.29-04 2.13-04 2.03-04 2.00-04 2.08-04 2.08-04 2.21-04
  20   3 2.65+14 9.05-04 9.42-04 1.02-03 1.24-03 1.52-03 1.90-03 2.51-03 3.07-03
  21   3 0.00+00 1.19-04 1.07-04 9.64-05 8.74-05 8.25-05 8.28-05 7.73-05 8.02-05
  22   3 0.00+00 2.19-04 2.22-04 2.36-04 2.81-04 3.21-04 3.70-04 4.01-04 4.33-04
  23   3 0.00+00 1.41-05 1.20-05 1.00-05 7.96-06 6.57-06 5.84-06 4.58-06 4.50-06
  24   3 0.00+00 1.89-05 1.76-05 1.69-05 1.75-05 1.82-05 1.96-05 2.01-05 2.12-05
  -1
  -1  -1
C--------------------------------------------------
C   Description of the above data set.
C   All the values except the ionization potentials are due
C   to Zhang,H.L., Sampson,D.H. and Fontes,C.J. At. Data and
C   Nuc Data Tables vol 44, pp31-77 (1990). The data was
C   received electronically with more significant figures
C   than the pubished tables. These tables are stored on the
C   computer as DSNAME=JETNHA.RLIDATA.TEXT.
C   The values of the ionization potential were estimated by
C   assuming that the ratio of the ip to the excitation potential
C   of the 2S - 5G transition was constant with Z and as given
C   by the lighter ions.
C--------------------------------------------------
 
C---------------------------------------------------------------------------------
C ADAS ADF04 DATA - SCCS info: @(#)$Header: /home/adascvs/adas/adf04/copsm#li/copsm#li_sm#w71.dat,v 2.2 2010/11/04 14:23:04 mog Exp $ Date $Date: 2010/11/04 14:23:04 $
C---------------------------------------------------------------------------------

C-----------------------------------------------------------------------
C                               OPEN-ADAS
C                               +++++++++
C
C This file has been downloaded from OPEN-ADAS (http://open.adas.ac.uk)
C on 19-May-2020.
C
C TERMS AND CONDITIONS
C --------------------
C
C The user of the OPEN-ADAS system and data (hereinafter "the User")
C accepts the following terms and conditions:
C
C   1. The University of Strathclyde uses all reasonable endeavours to
C      ensure the accuracy of the data provided and any information
C      given, but the University makes no warranty, expressed or implied
C      as to its accuracy, integrity, fitness for purpose and shall not
C      be responsible for the use to which the data is put by the User
C      and/or any consequences arising out of any inaccuracies or
C      omissions.
C
C   2. Any downloaded OPEN-ADAS file is made available for the
C      personal use of the User only.  It must not be used for any
C      commercial application, incorporated into any web site or in
C      any form re-distributed without express prior written permission
C      from the ADAS Project. In particular, but not by way of
C      limitation, it must not be:
C        *  inserted into a managed database structure,
C        *  redistributed along with a modelling or analysis code,
C        *  made available on a public website.
C
C Permission for OPEN-ADAS data incorporation in non-commercial
C code/system development for scientific advance will not be
C unreasonably withheld, but will be subject to written agreement
C on a case by case basis.
C
C The User will indemnify the University of Strathclyde and keep it
C fully and effectively indemnified against each and every claim made
C against the University as a result of the User's use of the data.
C
C-----------------------------------------------------------------------
