W + 6        74         7   984100.0(1S)
    1  4dA 4fE 5s2 5p6         (0)0(     0.0)            0.0000   {X}
    2  4dA 4fE 5s2 5p6         (0)0(     0.0)            0.0000   {X}
    3  4dA 4fE 5s2 5p5 5d1     (0)0(    29.5)       367762.5000   {X}
    4  4dA 4fD 5s2 5p6 6s1     (0)0(    13.5)       433769.4000   {X}
    5  4dA 4fD 5s2 5p6 6s1     (0)0(    13.5)       433769.4000   {X}
    6  4dA 4fE 5s2 5p5 6s1     (0)0(     5.5)       472056.8000   {X}
    7  4dA 4fD 5s2 5p6 6p1     (0)0(    41.5)       522579.8000   {X}
    8  4dA 4fE 5s2 5p5 6p1     (0)0(    17.5)       560033.1000   {X}
    9  4dA 4fE 5s2 5p5 5f1     (0)0(    41.5)       664843.2000   {X}
   10  4dA 4fE 5s2 5p5 6d1     (0)0(    29.5)       677441.0000   {X}
   11  4dA 4fE 5s2 5p5 7s1     (0)0(     5.5)       704524.2000   {X}
   12  4dA 4fE 5s1 5p6 5d1     (0)0(     9.5)       704996.1000   {X}
   13  4dA 4fE 5s2 5p5 7p1     (0)0(    17.5)       743689.4000   {X}
   14  4dA 4fE 5s2 5p5 6f1     (0)0(    41.5)       791019.1000   {X}
   15  4dA 4fE 5s2 5p5 7d1     (0)0(    29.5)       799183.5000   {X}
   16  4dA 4fE 5s1 5p6 6s1     (0)0(     1.5)       815666.1000   {X}
   17  4dA 4fE 5s2 5p5 8p1     (0)0(    17.5)       832368.1000   {X}
   18  4dA 4fE 5s2 5p5 7f1     (0)0(    41.5)       858112.5000   {X}
   19  4dA 4fE 5s2 5p5 8f1     (0)0(    41.5)       898287.3000   {X}
   20  4dA 4fE 5s1 5p6 6p1     (0)0(     5.5)       902698.7000   {X}
   21  4dA 4fC 5s2 5p6 6s2     (0)0(    44.5)       977045.7000   {X}
   22  4dA 4fE 5s1 5p6 6d1     (0)0(     9.5)      1020205.4000   {X}
   23  4dA 4fC 5s2 5p6 6s1 6p1 (0)0(   545.5)      1060797.2000   {X}
   -1
  7.0    3           4.90+03 9.80+03 2.45+04 4.90+04 9.80+04 2.45+05 4.90+05 9.80+05 2.45+06 4.90+06 9.80+06 2.45+07 4.90+07 9.80+07
     3     1 1.04+10 9.50+00 9.51+00 9.54+00 9.59+00 9.72+00 1.02+01 1.09+01 1.24+01 1.57+01 1.92+01 2.34+01 2.98+01 3.50+01 4.05+01
     9     1 1.50+06 7.68-01 7.68-01 7.69-01 7.70-01 7.73-01 7.85-01 8.05-01 8.41-01 9.18-01 9.88-01 1.06+00 1.13+00 1.17+00 1.19+00
     6     1 1.09+10 3.50-01 3.51-01 3.52-01 3.55-01 3.61-01 3.84-01 4.29-01 5.21-01 7.57-01 1.04+00 1.40+00 1.98+00 2.48+00 3.00+00
     8     1 3.73+05 7.26-01 7.26-01 7.27-01 7.29-01 7.32-01 7.44-01 7.65-01 8.02-01 8.74-01 9.37-01 9.95-01 1.06+00 1.09+00 1.11+00
    10     1 5.17+08 4.40-01 4.41-01 4.41-01 4.42-01 4.43-01 4.48-01 4.57-01 4.74-01 5.13-01 5.53-01 5.99-01 6.62-01 7.11-01 7.60-01
    14     1 7.03+05 2.62-01 2.62-01 2.62-01 2.62-01 2.63-01 2.66-01 2.70-01 2.79-01 2.98-01 3.16-01 3.34-01 3.53-01 3.64-01 3.71-01
    11     1 4.43+09 5.38-02 5.39-02 5.40-02 5.43-02 5.48-02 5.69-02 6.09-02 6.97-02 9.37-02 1.24-01 1.65-01 2.33-01 2.93-01 3.56-01
    13     1 2.14+05 1.69-01 1.69-01 1.69-01 1.69-01 1.70-01 1.72-01 1.75-01 1.81-01 1.95-01 2.07-01 2.19-01 2.32-01 2.39-01 2.44-01
    15     1 1.18+08 1.30-01 1.30-01 1.31-01 1.31-01 1.31-01 1.32-01 1.34-01 1.37-01 1.44-01 1.52-01 1.60-01 1.71-01 1.78-01 1.86-01
    18     1 3.73+05 1.21-01 1.22-01 1.22-01 1.22-01 1.22-01 1.23-01 1.25-01 1.28-01 1.36-01 1.43-01 1.50-01 1.58-01 1.62-01 1.66-01
    17     1 1.28+05 6.97-02 6.97-02 6.98-02 6.99-02 7.01-02 7.07-02 7.20-02 7.43-02 7.93-02 8.42-02 8.90-02 9.43-02 9.72-02 9.92-02
