      24 29  1
 12.3010  1 -47.1967 -39.8872 -34.0682 -31.5823 -29.7135 -28.2621 -27.5162 -26.7738 -26.1782 -25.9012 -25.6967 -25.5242 -25.4264 -25.3227 -25.2412 -25.2114 -25.1958 -25.1939 -25.2013 -25.2219 -25.2584 -25.2864 -25.3210 -25.3674 -25.4028 -25.4540 -25.5212 -25.5678 -25.6196 
 12.6990  1 -47.1967 -39.8873 -34.0683 -31.5831 -29.7164 -28.2696 -27.5276 -26.7905 -26.2000 -25.9237 -25.7213 -25.5482 -25.4492 -25.3437 -25.2602 -25.2294 -25.2129 -25.2101 -25.2169 -25.2368 -25.2721 -25.2993 -25.3331 -25.3788 -25.4138 -25.4643 -25.5307 -25.5768 -25.6281 
 13.0000  1 -47.1968 -39.8873 -34.0685 -31.5841 -29.7195 -28.2772 -27.5388 -26.8066 -26.2207 -25.9449 -25.7447 -25.5710 -25.4711 -25.3641 -25.2789 -25.2473 -25.2299 -25.2261 -25.2324 -25.2514 -25.2857 -25.3121 -25.3452 -25.3902 -25.4247 -25.4746 -25.5402 -25.5858 -25.6366 
 13.3010  1 -47.1969 -39.8874 -34.0689 -31.5854 -29.7236 -28.2869 -27.5529 -26.8266 -26.2462 -25.9711 -25.7727 -25.5987 -25.4980 -25.3896 -25.3029 -25.2702 -25.2518 -25.2469 -25.2524 -25.2704 -25.3033 -25.3287 -25.3608 -25.4049 -25.4388 -25.4878 -25.5523 -25.5972 -25.6474 
 13.6990  1 -47.1973 -39.8878 -34.0697 -31.5883 -29.7314 -28.3040 -27.5770 -26.8597 -26.2879 -26.0144 -25.8175 -25.6442 -25.5430 -25.4336 -25.3451 -25.3113 -25.2914 -25.2846 -25.2888 -25.3050 -25.3354 -25.3590 -25.3894 -25.4317 -25.4645 -25.5118 -25.5742 -25.6179 -25.6669 
 14.0000  1 -47.1980 -39.8883 -34.0709 -31.5917 -29.7397 -28.3207 -27.6001 -26.8910 -26.3278 -26.0572 -25.8618 -25.6908 -25.5901 -25.4804 -25.3907 -25.3558 -25.3344 -25.3255 -25.3281 -25.3422 -25.3699 -25.3916 -25.4200 -25.4605 -25.4919 -25.5374 -25.5976 -25.6399 -25.6875 
 14.3010  1 -47.1993 -39.8895 -34.0729 -31.5967 -29.7511 -28.3428 -27.6308 -26.9329 -26.3826 -26.1176 -25.9260 -25.7596 -25.6602 -25.5507 -25.4594 -25.4227 -25.3988 -25.3865 -25.3865 -25.3969 -25.4199 -25.4385 -25.4637 -25.5010 -25.5303 -25.5730 -25.6299 -25.6701 -25.7158 
 14.6990  1 -47.2032 -39.8929 -34.0783 -31.6087 -29.7767 -28.3911 -27.6973 -27.0236 -26.5001 -26.2475 -26.0656 -25.9087 -25.8122 -25.7033 -25.6090 -25.5689 -25.5401 -25.5207 -25.5150 -25.5173 -25.5296 -25.5410 -25.5588 -25.5881 -25.6122 -25.6478 -25.6964 -25.7318 -25.7727 
 15.0000  1 -47.2097 -39.8984 -34.0866 -31.6264 -29.8129 -28.4563 -27.7843 -27.1371 -26.6402 -26.3993 -26.2267 -26.0777 -25.9837 -25.8753 -25.7786 -25.7356 -25.7026 -25.6770 -25.6663 -25.6607 -25.6625 -25.6665 -25.6763 -25.6966 -25.7144 -25.7412 -25.7795 -25.8084 -25.8428 
 15.3010  1 -47.2223 -39.9094 -34.1026 -31.6589 -29.8758 -28.5613 -27.9169 -27.2998 -26.8296 -26.5997 -26.4354 -26.2932 -26.2012 -26.0933 -25.9947 -25.9492 -25.9126 -25.8815 -25.8662 -25.8535 -25.8450 -25.8416 -25.8430 -25.8533 -25.8638 -25.8803 -25.9052 -25.9255 -25.9510 
