      16 25  3
 10.6990  2 -74.0000 -74.0000 -74.0000 -61.8268 -50.6041 -33.4433 -30.0661 -28.6460 -27.6177 -26.5828 -26.2288 -26.0578 -25.9510 -25.8721 -25.8170 -25.7534 -25.7313 -25.5847 -25.5656 -25.5636 -25.5706 -25.5972 -25.6090 -25.6168 -25.6249 
 10.6990  3 -74.0000 -74.0000 -74.0000 -74.0000 -67.7579 -38.2004 -33.0826 -30.8483 -29.1926 -27.2809 -26.6586 -26.3544 -26.1745 -26.0572 -25.9753 -25.8680 -25.8309 -25.6398 -25.6162 -25.6121 -25.6171 -25.6641 -25.6891 -25.7056 -25.7230 
 11.0000  1 -28.9698 -27.5881 -26.4600 -25.9594 -25.5670 -24.8952 -24.7385 -24.6691 -24.6216 -24.5910 -24.5998 -24.6122 -24.6250 -24.6379 -24.6506 -24.6737 -24.6838 -24.8044 -24.8613 -24.8987 -24.9384 -25.0608 -25.1177 -25.1551 -25.1948 
 11.0000  2 -74.0000 -74.0000 -74.0000 -61.8267 -50.6037 -33.4432 -30.0665 -28.6462 -27.6181 -26.5838 -26.2296 -26.0582 -25.9513 -25.8727 -25.8178 -25.7538 -25.7315 -25.5847 -25.5656 -25.5636 -25.5706 -25.5972 -25.6090 -25.6168 -25.6249 
 11.0000  3 -74.0000 -74.0000 -74.0000 -74.0000 -67.7483 -38.1996 -33.0827 -30.8483 -29.1926 -27.2809 -26.6586 -26.3544 -26.1745 -26.0572 -25.9753 -25.8680 -25.8309 -25.6398 -25.6162 -25.6121 -25.6171 -25.6641 -25.6891 -25.7056 -25.7230 
 11.6990  1 -28.9706 -27.5888 -26.4609 -25.9595 -25.5673 -24.8976 -24.7418 -24.6712 -24.6236 -24.5929 -24.6006 -24.6144 -24.6275 -24.6395 -24.6512 -24.6733 -24.6838 -24.8047 -24.8630 -24.9014 -24.9420 -25.0674 -25.1257 -25.1641 -25.2048 
 11.6990  2 -74.0000 -74.0000 -74.0000 -61.8272 -50.6054 -33.4454 -30.0690 -28.6487 -27.6207 -26.5876 -26.2331 -26.0607 -25.9531 -25.8747 -25.8198 -25.7550 -25.7324 -25.5848 -25.5657 -25.5636 -25.5706 -25.5972 -25.6090 -25.6167 -25.6248 
 11.6990  3 -74.0000 -74.0000 -74.0000 -74.0000 -67.7520 -38.1999 -33.0827 -30.8483 -29.1926 -27.2809 -26.6586 -26.3544 -26.1745 -26.0572 -25.9753 -25.8680 -25.8309 -25.6398 -25.6162 -25.6121 -25.6171 -25.6641 -25.6891 -25.7056 -25.7231 
 12.0000  1 -28.9716 -27.5897 -26.4621 -25.9598 -25.5677 -24.8999 -24.7432 -24.6739 -24.6273 -24.5955 -24.6031 -24.6159 -24.6282 -24.6398 -24.6513 -24.6739 -24.6847 -24.8049 -24.8636 -24.9022 -24.9432 -25.0694 -25.1281 -25.1667 -25.2077 
 12.0000  2 -74.0000 -74.0000 -74.0000 -61.8284 -50.6065 -33.4476 -30.0711 -28.6515 -27.6234 -26.5909 -26.2355 -26.0623 -25.9544 -25.8762 -25.8213 -25.7558 -25.7330 -25.5849 -25.5657 -25.5636 -25.5706 -25.5971 -25.6089 -25.6166 -25.6248 
 12.0000  3 -74.0000 -74.0000 -74.0000 -74.0000 -67.7513 -38.1999 -33.0827 -30.8483 -29.1926 -27.2809 -26.6586 -26.3544 -26.1745 -26.0572 -25.9753 -25.8680 -25.8309 -25.6398 -25.6162 -25.6121 -25.6171 -25.6641 -25.6891 -25.7055 -25.7229 
 12.6990  1 -28.9763 -27.5960 -26.4684 -25.9674 -25.5751 -24.9128 -24.7625 -24.6967 -24.6529 -24.6219 -24.6256 -24.6332 -24.6439 -24.6553 -24.6662 -24.6860 -24.6952 -24.8096 -24.8625 -24.8974 -24.9343 -25.0481 -25.1010 -25.1358 -25.1727 
 12.6990  2 -74.0000 -74.0000 -74.0000 -61.8006 -50.6034 -33.4623 -30.0858 -28.6685 -27.6433 -26.6090 -26.2484 -26.0711 -25.9613 -25.8834 -25.8283 -25.7597 -25.7357 -25.5863 -25.5659 -25.5638 -25.5706 -25.5970 -25.6087 -25.6164 -25.6245 
 12.6990  3 -74.0000 -74.0000 -74.0000 -74.0000 -67.7516 -38.1999 -33.0827 -30.8483 -29.1926 -27.2809 -26.6586 -26.3544 -26.1745 -26.0572 -25.9754 -25.8680 -25.8309 -25.6395 -25.6163 -25.6121 -25.6171 -25.6642 -25.6894 -25.7059 -25.7234 
 13.0000  1 -28.9834 -27.6036 -26.4770 -25.9755 -25.5846 -24.9361 -24.7902 -24.7293 -24.6917 -24.6618 -24.6619 -24.6654 -24.6737 -24.6837 -24.6932 -24.7111 -24.7196 -24.8245 -24.8756 -24.9092 -24.9448 -25.0546 -25.1057 -25.1393 -25.1749 
 13.0000  2 -74.0000 -74.0000 -74.0000 -61.8041 -50.6100 -33.4772 -30.1028 -28.6896 -27.6657 -26.6253 -26.2608 -26.0804 -25.9685 -25.8895 -25.8334 -25.7630 -25.7384 -25.5867 -25.5661 -25.5639 -25.5706 -25.5966 -25.6082 -25.6157 -25.6237 
