  7  7 14
WAVELENGTH(A)= 
   145.754
 7 14 t 
excit   
  0.1000E+17  0.9130E-47  0.2050E-34  0.1390E-24  0.2700E-17  0.9670E-14  0.9870E-12  0.3830E-11  0.5610E-11  0.6590E-11  0.7400E-11  0.7560E-11  0.6600E-11  0.5080E-11  0.4200E-11
WAVELENGTH(A)= 
   244.537
 7 14 t 
excit   
     1.400      2.090      3.490      6.980     14.000     34.900     69.800    105.000    140.000    209.000    349.000    698.000   1400.000   2090.000 
  0.1000E+11  0.7280E-22  0.1080E-16  0.1350E-12  0.1370E-09  0.3780E-08  0.2320E-07  0.3840E-07  0.4400E-07  0.4650E-07  0.4820E-07  0.4830E-07  0.4530E-07  0.4050E-07  0.3730E-07
  0.1000E+12  0.7280E-22  0.1080E-16  0.1350E-12  0.1370E-09  0.3780E-08  0.2320E-07  0.3840E-07  0.4400E-07  0.4650E-07  0.4820E-07  0.4830E-07  0.4530E-07  0.4050E-07  0.3730E-07
  0.1000E+13  0.7280E-22  0.1080E-16  0.1350E-12  0.1370E-09  0.3780E-08  0.2320E-07  0.3840E-07  0.4400E-07  0.4650E-07  0.4820E-07  0.4830E-07  0.4530E-07  0.4050E-07  0.3730E-07
  0.1000E+14  0.7280E-22  0.1080E-16  0.1350E-12  0.1370E-09  0.3780E-08  0.2320E-07  0.3840E-07  0.4400E-07  0.4650E-07  0.4820E-07  0.4830E-07  0.4530E-07  0.4050E-07  0.3730E-07
  0.1000E+15  0.7270E-22  0.1080E-16  0.1350E-12  0.1370E-09  0.3780E-08  0.2320E-07  0.3840E-07  0.4400E-07  0.4650E-07  0.4820E-07  0.4830E-07  0.4530E-07  0.4040E-07  0.3730E-07
  0.1000E+16  0.7270E-22  0.1080E-16  0.1350E-12  0.1370E-09  0.3780E-08  0.2320E-07  0.3840E-07  0.4390E-07  0.4640E-07  0.4810E-07  0.4820E-07  0.4520E-07  0.4040E-07  0.3730E-07
