iter	RMSE
219	2.292375384
220	2.292062173
221	2.291562526
222	2.291146376
223	2.290839543
224	2.29047212
225	2.289917473
226	2.289583318
227	2.289239002
228	2.288961561
229	2.28868843
230	2.288138986
231	2.287945562
232	2.287700043
233	2.287483174
234	2.286917839
235	2.286691137
236	2.286220248
237	2.285767295
238	2.285446797
239	2.285148141
240	2.2848991
241	2.284452287
242	2.284237677
243	2.283529964
244	2.28319693
245	2.282934953
246	2.282588746
247	2.282315464
248	2.282077052
249	2.281742536
250	2.281408643
251	2.281197897
252	2.280771801
253	2.280490079
254	2.280256113
255	2.28001729
256	2.279653266
257	2.279369158
258	2.279066548
259	2.278839561
260	2.278462696
261	2.278203499
262	2.277814227
263	2.27764102
264	2.277345891
265	2.277145327
266	2.276929658
267	2.276702744
268	2.276384355
269	2.276019832
270	2.275611226
271	2.275312026
272	2.275092405
273	2.274776033
274	2.274566309
275	2.274317125
276	2.273974815
277	2.273752982
278	2.273503225
279	2.273337456
280	2.273019653
281	2.272824158
282	2.272509628
283	2.272289193
284	2.272058283
285	2.271786031
286	2.271586343
287	2.27128367
288	2.271008
289	2.270583096
290	2.270436943
291	2.270190184
292	2.269880584
293	2.269651493
294	2.269317085
295	2.269088247
296	2.268825335
297	2.26844509
298	2.268112718
299	2.267768206
300	2.267551587
301	2.267294426
302	2.266927515
303	2.266748859
304	2.266440442
305	2.266048938
306	2.265732292
307	2.265454374
308	2.26502665
309	2.264833563
310	2.264659911
311	2.264399012
312	2.264057501
313	2.263817368
314	2.263567237
315	2.263251662
316	2.263023788
317	2.262817445
318	2.262496993
319	2.262196572
320	2.262033974
321	2.261879606
322	2.261608939
323	2.261304406
324	2.260970049
325	2.260576725
326	2.26032577
327	2.260115932
328	2.259928874
329	2.259730734
330	2.25950816
331	2.259187085
332	2.258958798
333	2.258773393
334	2.258499444
335	2.258284779
336	2.257995128
337	2.257824219
338	2.257518255
339	2.257302422
340	2.257061495
341	2.256846965
342	2.256685091
343	2.256394187
344	2.256152721
345	2.255900506
346	2.25563108
347	2.255449495
348	2.255149927
349	2.254873539
350	2.254608871
351	2.254339507
352	2.254100454
353	2.253826578
354	2.25365676
355	2.253434656
356	2.253247176
357	2.253018542
358	2.252714545
359	2.252331163
360	2.252126769
361	2.251951188
362	2.251640271
363	2.251479093
364	2.251276105
365	2.251049276
366	2.250777623
367	2.250348579
368	2.250090988
369	2.249910998
370	2.249653125
371	2.249498497
372	2.249184733
373	2.249033142
374	2.248824502
375	2.248426237
376	2.248253993
377	2.24804692
378	2.247472237
379	2.247264031
380	2.246987388
381	2.246771829
382	2.246255463
383	2.246054622
384	2.245829686
385	2.245636231
386	2.245323316
387	2.245088006
388	2.244864339
389	2.244653444
390	2.244406743
391	2.244096446
392	2.243723375
393	2.243563809
394	2.243359062
395	2.243089146
396	2.242711677
397	2.242487379
398	2.242064519
399	2.241857745
400	2.241545597
401	2.241248374
402	2.241045874
403	2.240901596
404	2.240715557
405	2.240500968
406	2.240015908
407	2.239733025
408	2.239441591
409	2.239216966
410	2.23899395
411	2.238789356
412	2.238648541
413	2.238391732
414	2.238084826
415	2.237908447
416	2.237679166
417	2.237478676
418	2.237285504
419	2.237027283
420	2.236783249
421	2.236581214
422	2.236386427
423	2.236186826
424	2.235975147
425	2.235670693
426	2.235529252
427	2.23529724
428	2.235118474
429	2.234932964
430	2.234664984
431	2.234432644
432	2.234316217
433	2.234188314
434	2.233980934
435	2.233770328
436	2.233474488
437	2.23321605
438	2.23298528
439	2.232762815
440	2.232583648
441	2.232449905
442	2.232192478
443	2.232000243
444	2.231812563
445	2.231653855
446	2.231503801
447	2.231248091
448	2.231028333
449	2.23077625
450	2.230522441
451	2.23039938
452	2.230313169
453	2.230125969
454	2.229965301
455	2.22975466
456	2.229619102
457	2.229433531
458	2.229094254
459	2.228683392
460	2.228459909
461	2.228308028
462	2.228096299
463	2.227923054
464	2.227550053
465	2.227446303
466	2.227249893
467	2.227008861
468	2.22672687
469	2.226470472
470	2.226285819
471	2.226075901
472	2.22592481
473	2.225777983
474	2.225397891
475	2.225108793
476	2.22499452
477	2.224657536
478	2.224441917
479	2.224304857
480	2.22414366
481	2.22388354
482	2.223680239
483	2.223409734
484	2.223003899
485	2.222698485
486	2.2225216
487	2.222367502
488	2.222110662
489	2.221916482
490	2.221733273
491	2.22155819
492	2.22139959
493	2.221223666
494	2.221063108
495	2.220844436
496	2.220734244
497	2.22051289
498	2.220309096
499	2.219979489
500	2.219871009
501	2.219693091
502	2.219447752
503	2.219194933
504	2.218904884
505	2.218372717
506	2.218155978
507	2.217988862
508	2.217845826
509	2.217602131
510	2.21733191
511	2.217140616
512	2.216957852
513	2.216803212
514	2.216677138
515	2.216492303
516	2.216351667
517	2.216218731
518	2.215946852
519	2.21581051
520	2.215400313
521	2.21523826
522	2.215070436
523	2.214913408
524	2.214703942
525	2.214600596
526	2.214408061
527	2.214141689
528	2.214011983
529	2.213659419
530	2.213457743
531	2.213164007
532	2.212843123
533	2.212571786
534	2.212342572
535	2.212120049
536	2.211853399
537	2.211750978
538	2.21153241
539	2.211380734
540	2.21112246
541	2.210986048
542	2.21077576
543	2.210610079
544	2.210346938
545	2.210206498
546	2.210043841
547	2.209852955
548	2.209577659
549	2.209429913
550	2.209142431
551	2.209026653
552	2.208812104
553	2.208643008
554	2.20838964
555	2.2081145
556	2.20788752
557	2.207626597
558	2.207337316
559	2.207171318
560	2.207060492
561	2.206919122
562	2.20674574
563	2.206596697
564	2.206347792
565	2.206203036
566	2.206029607
567	2.205860325
568	2.20565879
569	2.205477408
570	2.205304578
571	2.205228608
572	2.204974915
573	2.204836645
574	2.20463059
575	2.204301906
576	2.204142162
577	2.203957211
578	2.203809216
579	2.203573508
580	2.203338969
581	2.203200461
582	2.202922246
583	2.202679888
584	2.202500134
585	2.202368233
586	2.202176955
587	2.20203173
588	2.201769838
589	2.201328693
590	2.201235678
591	2.201019449
592	2.200822794
593	2.200512266
594	2.200251159
595	2.200115872
596	2.199920285
597	2.199747653
598	2.199513494
599	2.199341307
600	2.199157399
601	2.198940626
602	2.198815292
603	2.198458723
604	2.198288665
605	2.198202524
606	2.198059781
607	2.197808301
608	2.197537032
609	2.197305543
610	2.196983606
611	2.196679259
612	2.19654805
613	2.196451186
614	2.196314526
615	2.196079608
616	2.195958184
617	2.195777394
618	2.195542731
619	2.195461531
620	2.195164108
621	2.195054005
622	2.194908231
623	2.194699174
624	2.194551979
625	2.194305366
626	2.194201331
627	2.194041141
628	2.193810182
629	2.193606273
630	2.193363001
631	2.193272014
632	2.193156905
633	2.192888527
634	2.192611648
635	2.192468017
636	2.192225012
637	2.192132503
638	2.191993315
639	2.191861483
640	2.191662527
641	2.191507196
642	2.191349858
643	2.191224785
644	2.191060454
645	2.190921428
646	2.190698297
647	2.19043679
648	2.19031246
649	2.190182083
650	2.190030509
651	2.189851518
652	2.189645384
653	2.189503753
654	2.18932923
655	2.189194911
656	2.189058755
657	2.188802498
658	2.188634409
659	2.188403686
660	2.188105552
661	2.188008503
662	2.187764154
663	2.187646445
664	2.18745306
665	2.18733472
666	2.187012231
667	2.186792506
668	2.186465051
669	2.186191193
670	2.1860929
671	2.185828519
672	2.1857374
673	2.185604895
674	2.185357261
675	2.185053241
676	2.18483625
677	2.184623821
678	2.184470595
679	2.184309552
680	2.184160485
681	2.184073813
682	2.18393532
683	2.183831469
684	2.18367317
685	2.183256199
686	2.183107352
687	2.182963509
688	2.182720262
689	2.182569277
690	2.182435287
691	2.18230844
692	2.182196042
693	2.18205876
694	2.181941473
695	2.181860158
696	2.181660264
697	2.181498985
698	2.181332967
699	2.181106249
700	2.180893067
701	2.180766051
702	2.180577401
703	2.180420925
704	2.180286341
705	2.180098343
706	2.179809636
707	2.179680869
708	2.179482822
709	2.179225697
710	2.17901377
711	2.178825236
712	2.178663417
713	2.1784651
714	2.178259519
715	2.178112435
716	2.177874655
717	2.177738855
718	2.177642528
719	2.177458926
720	2.177257879
721	2.177141837
722	2.177035107
723	2.176867422
724	2.17667101
725	2.176400346
726	2.17624599
727	2.176077451
728	2.175776209
729	2.175604253
730	2.175412595
731	2.175321898
732	2.175200907
733	2.174983525
734	2.174795371
735	2.174669639
736	2.174487408
737	2.174308462
738	2.174033384
739	2.17388539
740	2.173689106
741	2.173463405
742	2.173264791
743	2.173077481
744	2.172882434
745	2.172714891
746	2.17257996
747	2.172394751
748	2.172302286
749	2.172080742
750	2.171851169
751	2.171616822
752	2.171369212
753	2.17111432
754	2.170955385
755	2.170796728
756	2.170667919
757	2.17055555
758	2.170420716
759	2.170264771
760	2.170161882
761	2.170017767
762	2.169888146
763	2.169697814
764	2.169505226
765	2.169365719
766	2.169174718
767	2.169007265
768	2.168812546
769	2.16867381
770	2.168523463
771	2.168350914
772	2.168215851
773	2.1679863
774	2.167778761
775	2.167680049
776	2.167456686
777	2.16733313
778	2.167232149
779	2.16707231
780	2.16696868
781	2.166852497
782	2.166741063
783	2.166567595
784	2.166363986
785	2.16624256
786	2.16614658
787	2.165901407
788	2.165734498
789	2.165579417
790	2.165376579
791	2.165124076
792	2.164970169
793	2.164828252
794	2.164722551
795	2.164628268
796	2.164495365
797	2.164394718
798	2.164258402
799	2.16409091
800	2.163919964
801	2.163723633
802	2.163519973
803	2.163419261
804	2.163273714
805	2.163149999
806	2.162971347
807	2.162877313
808	2.162701342
809	2.162610659
810	2.162481345
811	2.162358673
812	2.162213949
813	2.16193317
814	2.161842414
815	2.161723704
816	2.161560909
817	2.161452198
818	2.161289346
819	2.161177704
820	2.161084496
821	2.16090137
822	2.160777451
823	2.160590274
824	2.160440863
825	2.160278998
826	2.160115078
827	2.159951317
828	2.159667174
829	2.159492399
830	2.15941405
831	2.159232904
832	2.159077627
833	2.15884485
834	2.158642854
835	2.158524689
836	2.158322829
837	2.157983158
838	2.157659778
839	2.157427943
840	2.157296595
841	2.157160719
842	2.156961011
843	2.156875758
844	2.156756544
845	2.156449651
846	2.15627639
847	2.156191196
848	2.156076274
849	2.155895527
850	2.155699503
851	2.155637936
852	2.155543002
853	2.15537014
854	2.155183907
855	2.155027706
856	2.154830953
857	2.154679009
858	2.154549234
859	2.154455571
860	2.154286033
861	2.154186244
862	2.154060839
863	2.153870633
864	2.153680717
865	2.15345337
866	2.153316312
867	2.153244058
868	2.153088734
869	2.152990195
870	2.152844638
871	2.152730096
872	2.152612702
873	2.152497837
874	2.152370879
875	2.152228057
876	2.151977204
877	2.151831281
878	2.151703572
879	2.151584116
880	2.15137007
881	2.151262603
882	2.151089306
883	2.151011531
884	2.150891962
885	2.150778087
886	2.150697766
887	2.150554374
888	2.150391518
889	2.150195675
890	2.150093774
891	2.149930209
892	2.149817053
893	2.149543992
894	2.149470721
895	2.149380599
896	2.149242786
897	2.149102703
898	2.148923445
899	2.148746659
900	2.148577549
901	2.148411211
902	2.148287861
903	2.148016828
904	2.147874916
905	2.147723685
906	2.147578922
907	2.14743068
908	2.147264819
909	2.147147701
910	2.147007082
911	2.146907595
912	2.146798332
913	2.146631024
914	2.146366138
915	2.146242896
916	2.14604365
917	2.145869852
918	2.145680195
919	2.145547317
920	2.145376881
921	2.145200408
922	2.145029506
923	2.144870557
924	2.144754462
925	2.144660044
926	2.144584211
927	2.144434045
928	2.144311185
929	2.144214243
930	2.144132265
931	2.143940063
932	2.143809546
933	2.143686432
934	2.143507064
935	2.14336823
936	2.143306859
937	2.143017411
938	2.142757071
939	2.142599554
940	2.142448709
941	2.142305339
942	2.142133182
943	2.142012738
944	2.141870994
945	2.141759414
946	2.141668909
947	2.141575703
948	2.141428443
949	2.141263004
950	2.141071439
951	2.140930793
952	2.14080869
953	2.140602268
954	2.14051997
955	2.14038124
956	2.14026586
957	2.140110428
958	2.139946055
959	2.139796144
960	2.139636776
961	2.13944399
962	2.139337954
963	2.139148983
964	2.139060908
965	2.138914949
966	2.138819907
967	2.138718696
968	2.138607041
969	2.138488845
970	2.138339448
971	2.138214818
972	2.138134233
973	2.137962045
974	2.137864019
975	2.137696335
976	2.137511757
977	2.137415896
978	2.137283965
979	2.137172224
980	2.136995058
981	2.136892414
982	2.136790117
983	2.13665663
984	2.136535058
985	2.136435996
986	2.136291773
987	2.136188424
988	2.136067228
989	2.135991325
990	2.135889827
991	2.135828722
992	2.135774294
993	2.135664595
994	2.135520127
995	2.135374026
996	2.13521779
997	2.135080641
998	2.134863136
999	2.134762437
